"Numero_statut","IsActiveMember","EstimatedSalary","HasCrCard","Exited"
"1","1","101348.88","1","1"
"2","1","112542.58","0","0"
"3","0","113931.57","1","1"
"4","0","93826.63","0","0"
"5","1","79084.1","1","0"
"6","0","149756.71","1","1"
"7","1","10062.8","1","0"
"8","0","119346.88","1","1"
"9","1","74940.5","0","0"
"10","1","71725.73","1","0"
"11","0","80181.12","0","0"
"12","0","76390.01","1","0"
"13","0","26260.98","1","0"
"14","0","190857.79","0","0"
"15","1","65951.65","1","0"
"16","1","64327.26","0","0"
"17","0","5097.67","1","1"
"18","1","14406.41","1","0"
"19","0","158684.81","0","0"
"20","1","54724.03","1","0"
"21","1","170886.17","1","0"
"22","0","138555.46","1","0"
"23","0","118913.53","1","1"
"24","1","8487.75","0","0"
"25","1","187616.16","1","0"
"26","1","124508.29","0","0"
"27","1","170041.95","1","0"
"28","0","38433.35","0","0"
"29","1","100187.43","1","0"
"30","1","53483.21","1","0"
"31","0","140469.38","1","1"
"32","1","156731.91","0","0"
"33","0","81898.81","0","0"
"34","1","34410.55","1","0"
"35","1","142033.07","1","0"
"36","0","27822.99","1","1"
"37","1","114066.77","0","0"
"38","1","98453.45","0","0"
"39","1","40812.9","1","0"
"40","1","178074.04","0","0"
"41","0","70154.22","1","0"
"42","0","181297.65","0","1"
"43","1","94153.83","1","0"
"44","0","194365.76","0","1"
"45","1","158338.39","1","0"
"46","1","126517.46","1","0"
"47","1","119708.21","1","1"
"48","1","117622.8","1","1"
"49","1","90878.13","0","0"
"50","0","194099.12","1","0"
"51","0","198059.16","1","0"
"52","0","86424.57","0","0"
"53","0","116978.19","0","0"
"54","0","164040.94","0","1"
"55","0","40014.76","1","1"
"56","1","113410.49","1","0"
"57","0","87107.57","1","0"
"58","0","45613.75","0","0"
"59","0","1643.11","1","1"
"60","1","46775.28","1","0"
"61","0","84509.57","0","0"
"62","0","126494.82","0","0"
"63","0","178798.13","0","0"
"64","1","99398.36","1","0"
"65","1","92840.67","1","0"
"66","1","27758.36","1","0"
"67","0","110431.51","1","0"
"68","1","196673.28","1","0"
"69","1","113656.85","0","0"
"70","0","18203","1","0"
"71","0","28373.86","1","1"
"72","0","33953.87","1","0"
"73","1","44203.55","0","0"
"74","1","58426.81","1","0"
"75","1","145562.4","0","0"
"76","0","22388","1","0"
"77","1","139161.64","1","0"
"78","1","148210.64","1","0"
"79","1","194239.63","0","0"
"80","0","98301.61","1","0"
"81","0","171413.66","0","0"
"82","0","136458.19","1","1"
"83","0","26019.59","0","0"
"84","1","159235.29","1","0"
"85","0","1907.66","1","0"
"86","1","114675.75","1","0"
"87","0","128643.35","1","1"
"88","0","151869.35","1","0"
"89","0","93251.42","1","1"
"90","1","156791.36","1","0"
"91","1","174205.22","1","1"
"92","0","147132.46","1","0"
"93","0","109614.57","1","0"
"94","1","172290.61","1","0"
"95","1","85982.47","0","0"
"96","1","121277.78","0","0"
"97","1","64595.25","0","0"
"98","1","197276.13","1","0"
"99","0","99645.04","0","0"
"100","0","6534.18","0","0"
"101","1","161848.03","1","0"
"102","0","167162.43","0","0"
"103","0","41970.72","1","0"
"104","0","60536.56","1","0"
"105","1","177655.68","1","1"
"106","1","30984.59","1","1"
"107","1","10054.53","1","0"
"108","1","36976.52","0","0"
"109","0","71862.79","0","0"
"110","0","99449.86","1","1"
"111","1","63082.88","0","0"
"112","0","27231.26","1","0"
"113","0","86797.41","0","0"
"114","1","22994.32","0","0"
"115","1","101300.94","0","1"
"116","1","74169.13","1","0"
"117","0","115638.29","1","0"
"118","0","31766.3","1","0"
"119","0","199725.39","1","1"
"120","0","120834.48","1","0"
"121","0","38131.77","0","0"
"122","0","100130.95","0","0"
"123","0","141069.88","1","0"
"124","1","198129.36","1","0"
"125","0","183646.41","0","0"
"126","0","110265.24","1","1"
"127","1","8636.05","0","1"
"128","0","46824.08","1","1"
"129","0","171378.77","1","0"
"130","0","167256.35","1","0"
"131","1","124226.16","1","0"
"132","1","114935.21","1","0"
"133","1","35608.88","1","0"
"134","1","16459.37","0","0"
"135","1","124411.08","1","0"
"136","1","34941.23","1","0"
"137","1","167784.28","0","0"
"138","1","93165.34","0","0"
"139","0","75161.25","1","1"
"140","1","8590.83","0","1"
"141","0","189543.9","1","0"
"142","1","180427.24","1","0"
"143","1","193318.33","1","0"
"144","0","159123.82","1","1"
"145","0","126213.84","1","1"
"146","1","54141.5","1","0"
"147","0","141075.51","1","0"
"148","0","24495.03","0","0"
"149","0","74836.34","1","0"
"150","1","878.87","0","0"
"151","0","89520.75","1","0"
"152","0","149892.79","1","1"
"153","0","180800.42","1","0"
"154","0","98646.22","1","0"
"155","1","109041.53","1","0"
"156","0","17941.16","1","1"
"157","0","82996.47","0","0"
"158","1","92067.35","1","0"
"159","1","104719.66","0","0"
"160","0","112687.57","0","0"
"161","1","84699.56","0","0"
"162","0","83473.82","1","0"
"163","0","47125.11","0","0"
