Id,Original Principal Amount,Cancelled Amount,Due to the banque,Credit Status
1,9000000.0,572026.03,0.0,Repaid
2,15509696.87,633197.93,7374384.82,Disbursed
3,72112713.47,530.0,0.0,Repaid
4,22878919.07,2244.58,0.0,Repaid
5,23480995.92,0.0,0.0,Repaid
6,2649441.01,21731.53,0.0,Repaid
7,4115989.22,1668668.63,0.0,Repaid
8,7222066.3,0.0,0.0,Repaid
9,5215362.64,417029.8,0.0,Repaid
10,6428899.07,949757.55,0.0,Repaid
11,1036175.11,814348.45,0.0,Repaid
12,7228256.66,0.0,0.0,Repaid
13,5193156.02,1114258.29,0.0,Repaid
14,9536139.58,496.0,0.0,Repaid
15,12051853.61,0.0,0.0,Repaid
16,2067068.97,1654215.55,0.0,Repaid
17,6001266.43,118853.68,0.0,Repaid
18,2306230.51,500.0,0.0,Repaid
19,126800000.0,1781.85,0.0,Disbursed
20,21883934.27,2004294.48,0.0,Repaid
21,3373186.4,0.0,0.0,Disbursed
22,18086117.32,0.0,0.0,Repaid
23,21154433.73,2667881.54,0.0,Repaid
24,15674635.09,0.0,0.0,Repaid
25,21100470.23,0.0,0.0,Repaid
26,16879769.69,7076.13,0.0,Repaid
27,3616300.34,5166.14,0.0,Repaid
28,21085492.49,3003089.32,0.0,Repaid
29,50622786.57,211661.56,0.0,Repaid
30,6000486.61,137401.96,0.0,Repaid
31,7827129.41,68374.96,0.0,Repaid
32,9645871.9,669.26,0.0,Repaid
33,421997.01,144.74,0.0,Repaid
34,6001992.85,144073.99,0.0,Repaid
35,2050384.56,1942.43,0.0,Repaid
36,16179959.94,0.0,0.0,Repaid
37,81428241.92,0.0,0.0,Repaid
38,24126886.54,0.0,0.0,Repaid
39,24112340.34,70494.91,0.0,Repaid
40,5010317.22,4950000.0,0.0,Repaid
41,9005406.31,8973799.56,0.0,Repaid
42,26000000.0,26000000.0,0.0,Cancelled
43,24000000.0,24000000.0,0.0,Cancelled
44,4019059.72,984497.34,45539.45,Disbursed
45,3619032.99,0.0,0.0,Disbursed
46,5549183.94,0.0,0.0,Repaid
47,9936649.74,0.0,596198.74,Disbursed
48,4342839.57,0.0,0.0,Repaid
49,16888820.58,0.0,0.0,Repaid
50,4500000.0,4500000.0,0.0,Cancelled
51,9601524.66,284874.52,0.0,Repaid
52,9436547.39,362170.54,136060.73,Disbursed
